Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Crescente,100000,8,11130200
Heap Sort,Crescente,100000,9,11205700
Heap Sort,Crescente,100000,10,11318100
Heap Sort,Crescente,1000000,1,158001600
Heap Sort,Crescente,1000000,2,153309100
Heap Sort,Crescente,1000000,3,149953400
Heap Sort,Crescente,1000000,4,147175900
Heap Sort,Crescente,1000000,5,153142800
Heap Sort,Crescente,1000000,6,149440800
Heap Sort,Crescente,1000000,7,151853900
Heap Sort,Crescente,1000000,8,150369500
Heap Sort,Crescente,1000000,9,151455700
Heap Sort,Crescente,1000000,10,151836400
Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Decrescente,100,1,11900
Heap Sort,Decrescente,100,2,7600
Heap Sort,Decrescente,100,3,5600
Heap Sort,Decrescente,100,4,7300
Heap Sort,Decrescente,100,5,6000
Heap Sort,Decrescente,100,6,4200
Heap Sort,Decrescente,100,7,4300
Heap Sort,Decrescente,100,8,4200
Heap Sort,Decrescente,100,9,4100
Heap Sort,Decrescente,100,10,4300
Heap Sort,Decrescente,1000,1,110000
Heap Sort,Decrescente,1000,2,101800
Heap Sort,Decrescente,1000,3,83100
Heap Sort,Decrescente,1000,4,77800
Heap Sort,Decrescente,1000,5,106300
Heap Sort,Decrescente,1000,6,118300
Heap Sort,Decrescente,1000,7,91600
Heap Sort,Decrescente,1000,8,74700
Heap Sort,Decrescente,1000,9,72300
Heap Sort,Decrescente,1000,10,70000
Heap Sort,Decrescente,10000,1,1058300
Heap Sort,Decrescente,10000,2,1057200
Heap Sort,Decrescente,10000,3,1040800
Heap Sort,Decrescente,10000,4,983800
Heap Sort,Decrescente,10000,5,960900
Heap Sort,Decrescente,10000,6,1037000
Heap Sort,Decrescente,10000,7,946200
Heap Sort,Decrescente,10000,8,952900
Heap Sort,Decrescente,10000,9,933900
Heap Sort,Decrescente,10000,10,934400
Heap Sort,Decrescente,100000,1,12000600
Heap Sort,Decrescente,100000,2,11447500
Heap Sort,Decrescente,100000,3,12384000
Heap Sort,Decrescente,100000,4,11405300
Heap Sort,Decrescente,100000,5,11645600
Heap Sort,Decrescente,100000,6,11438400
Heap Sort,Decrescente,100000,7,11578000
Heap Sort,Decrescente,100000,8,11715900
Heap Sort,Decrescente,100000,9,11617700
Heap Sort,Decrescente,100000,10,11516400
Heap Sort,Decrescente,1000000,1,186233000
Heap Sort,Decrescente,1000000,2,168480700
Heap Sort,Decrescente,1000000,3,173538700
Heap Sort,Decrescente,1000000,4,165944000
Heap Sort,Decrescente,1000000,5,172378700
Heap Sort,Decrescente,1000000,6,167884200
Heap Sort,Decrescente,1000000,7,176131400
Heap Sort,Decrescente,1000000,8,168881500
Heap Sort,Decrescente,1000000,9,175510800
Heap Sort,Decrescente,1000000,10,166549400
Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Aleatório,100,1,9200
Heap Sort,Aleatório,100,2,7500
Heap Sort,Aleatório,100,3,6700
Heap Sort,Aleatório,100,4,6700
Heap Sort,Aleatório,100,5,6700
Heap Sort,Aleatório,100,6,6500
Heap Sort,Aleatório,100,7,7000
Heap Sort,Aleatório,100,8,6700
Heap Sort,Aleatório,100,9,6700
Heap Sort,Aleatório,100,10,6400
Heap Sort,Aleatório,1000,1,102100
Heap Sort,Aleatório,1000,2,108600
Heap Sort,Aleatório,1000,3,98100
Heap Sort,Aleatório,1000,4,97700
Heap Sort,Aleatório,1000,5,100500
Heap Sort,Aleatório,1000,6,98100
Heap Sort,Aleatório,1000,7,97000
Heap Sort,Aleatório,1000,8,97100
Heap Sort,Aleatório,1000,9,97000
Heap Sort,Aleatório,1000,10,96100
Heap Sort,Aleatório,10000,1,1587100
Heap Sort,Aleatório,10000,2,1337100
Heap Sort,Aleatório,10000,3,1344400
Heap Sort,Aleatório,10000,4,1321100
Heap Sort,Aleatório,10000,5,1318700
Heap Sort,Aleatório,10000,6,1665700
Heap Sort,Aleatório,10000,7,1289500
Heap Sort,Aleatório,10000,8,1300000
Heap Sort,Aleatório,10000,9,1343800
Heap Sort,Aleatório,10000,10,1356000
Heap Sort,Aleatório,100000,1,27073000
Heap Sort,Aleatório,100000,2,29402800
Heap Sort,Aleatório,100000,3,27346700
Heap Sort,Aleatório,100000,4,22975100
Heap Sort,Aleatório,100000,5,22855400
Heap Sort,Aleatório,100000,6,22236000
Heap Sort,Aleatório,100000,7,19524100
Heap Sort,Aleatório,100000,8,21134500
Heap Sort,Aleatório,100000,9,24974200
Heap Sort,Aleatório,100000,10,22824200
Heap Sort,Aleatório,1000000,1,560801800
Heap Sort,Aleatório,1000000,2,528863600
Heap Sort,Aleatório,1000000,3,529079200
Heap Sort,Aleatório,1000000,4,527657100
Heap Sort,Aleatório,1000000,5,527042500
Heap Sort,Aleatório,1000000,6,525185200
Heap Sort,Aleatório,1000000,7,527883900
Heap Sort,Aleatório,1000000,8,534897600
Heap Sort,Aleatório,1000000,9,530798400
Heap Sort,Aleatório,1000000,10,532438800
Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Repetidos,100,1,1900
Heap Sort,Repetidos,100,2,1100
Heap Sort,Repetidos,100,3,2700
Heap Sort,Repetidos,100,4,2100
Heap Sort,Repetidos,100,5,2800
Heap Sort,Repetidos,100,6,3000
Heap Sort,Repetidos,100,7,1700
Heap Sort,Repetidos,100,8,1700
Heap Sort,Repetidos,100,9,1900
Heap Sort,Repetidos,100,10,1800
Heap Sort,Repetidos,1000,1,17000
Heap Sort,Repetidos,1000,2,14200
Heap Sort,Repetidos,1000,3,14100
Heap Sort,Repetidos,1000,4,14000
Heap Sort,Repetidos,1000,5,24700
